ID,Name,Gender,Age,OverAllRating,ReviewType,ReviewTitle,Benefits,Money,Experience,Purchase,claimsProcess,SpeedResolution,Fairness,ReviewDate,Review,Recommend,ColCount,,,,
11,colorado1,Male,45 to 54,4,Buyer review,Ease and helpfuness,4,5,5,5,NA,NA,NA,21/04/2014,I can only say that  have given me quality of assurance and help when reqired. I have tried other insurers but come back to  as they reward loyalty rather than at the expense of new customers. Obviously if this were to change Id be out ther looking for fresh deals but since I have been with them I cannot find better coverage.,I would recommend  to a friend,18,,,,
12,AVFC1,Male,35 to 44,5,Buyer review,Cheapest by far.,5,5,5,5,NA,NA,NA,21/04/2014,Great customer service and a brilliant price. I would say to anyone to try  first.,I would recommend  to a friend,18,,,,
13,NA,Female,65 or over,4,Buyer review,Good experience,4,4,5,4,NA,NA,NA,21/04/2014,We were looking for an insurance company that would be easy to contact. Rang  and spoke to a lady who was both very efficient and helpful. The price was good and so we decided to give  a go. Easy website to understand. So far so good!,I would recommend  to a friend,18,,,,
14,helmsman,Male,55 to 64,4,Claim review,efficient service,NA,NA,NA,NA,4,4,5,20/04/2014,Dealt with my claim efficiently when I eventually managed to obtain quotes!,I would recommend  to a friend,18,,,,
15,wetwetwet,Female,65 or over,5,Claim review,mum I got wet feet,NA,NA,5,NA,4,4,5,20/04/2014,On New years day my Son was using his computer and shouted Mum I got wet feet. Upon investicating we found water had come in the window in the bedroom and soaked through the ceiling down the walls and made the new carpet wet.Luckily I had another bedroom I could move into once the junk was moved.I phoned the helpline and was told to go ahead with the repair and someone would install dehumidifiers to dry everything out. I was phoned or emailed to ask if I needed anything and they were there if I need them. After everything was put right the invoice was sent off and within 2 days the advisor was on the phone to discuss my claim. They offered a fair settlement and this was paid within the week. The advisor took a lot of the stress out of the situation.,I would recommend  to a friend,18,,,,
16,Hamster,Male,55 to 64,2,Claim review,Home Content claim,NA,NA,1,NA,3,3,3,20/04/2014,"When I first telephoned to find out if I was covered for the accidental damage to my wifes glasses the  claims person at the other end of the line did not know and kept me waiting on the phone for a while before they came back to confirm that I was. This followed what I consider as more of an interrogation rather than being helpful questioning from  almost to the point where I was beginning to feel guilty for claiming!!
Eventually I was told to go away and obtain an estimate and email it back to  for it to be considered which puzzled me as I thought that I was covered anyway?
I emailed the estimate after a few days to the claims person as requested and within a few days I was sent a cheque less my excess which was good however it was so impersonal there was no acknowledgement to my email and the estimate no further contact was made with me either via telephone or email from the claims dept ...so much for the personal touch  advertises.",NA,18,,,,
17,BeekeeperG,Male,65 or over,5,Claim review,Great Service but One Hiccup,NA,NA,4,NA,5,4,5,20/04/2014,On Friday 9 August 2013 we had a kitchen fire at 1800. I rang the claims line before 1900 and found them most helpful.  arranged for an electrician to call the following morining to make wiring safe and a gas fitter also called over the weekend. On Monday Johnsons called to see about cleaning and a Loss Adjuster from Cuinningham Lindsey came on Tuiesday. We were then away for 2 weeks and on return recovery swung into place. Carpets curtains and soft covers were cleaned and all kitchen contents cleaned or condemned. We submitted two estimates to replace the entire kitchen and speedy approval was given. A couple of claims were settled quickly and the new kitchen was installed late November. We then submitted our final claim on 20 December but had no response from the Loss Adjusters despite 3 reminders until 5th March 2014 when they apologised for the delay and advised that the claim was approved. I received the cheque from  on 11 March. Apart from that delay all was v good.,I would recommend  to a friend,18,,,,
18,foxhamflag,Male,55 to 64,5,Claim review,Great service stress free resolution,NA,NA,5,NA,5,5,5,20/04/2014,"I had a leak from my bath that damaged the ceiling below. I claimed the loss adjuster visited and quickly agreed a value using my chosen builders quotes and gave me a cheque to do the work. Very simple quick stress free and easy. Also as we have artex on all of our ceilings he took samples as artex can include asbestos and had them checked and luckily we are asbestos free. We did not know but if our artex had asbestos we would have had to replace every ceiling as just happened for a friend of mine who is currently living in a hotel while all of his ceilings are removed due to artex with asbestos in it.
Great service as I now expect from  who are a quality insurer when you need to claim.",I would recommend  to a friend,18,,,,
19,hjax2110123123,Male,65 or over,5,Claim review,Very relieved.,NA,NA,5,NA,5,5,5,19/04/2014,After the recent storms we suffered damage to our roof.  dealt with our claim with fairness and speed. So glad we our with a proper insurance company.,I would recommend  to a friend,18,,,,
20,blondie,Female,55 to 64,5,Claim review,very helpful,NA,NA,5,NA,5,5,5,18/04/2014,after the radiator upstairs burst and caused the ceiling in the room below to fall down  were wonderful because the ceiling was artexed they had to test for traces of asbestos.  took charge of everything the ceiling was tested and found to be positive. The ceiling was immediately sealed until the specialists could come and take down the ceiling and replace it and all the wallpaper. As this happened at Christmas I had to wait until it was convenient for all parties involved to be available.  kept me informed each step of the way phoning regularly also the assessor and other parties who were involved phoned to tell me the time they would be coming and what day everyone was polite and helpful and cleared up all mess (and when the ceiling came down there was an awful lot of mess). The room looked wonderful when it was finished and you could not tell anything had happened. Thank you  I will certainly recommend you to others.,I would recommend  to a friend,18,,,,
21,Leonardo20,Female,65 or over,5,Claim review,Excellent service,NA,NA,5,NA,5,5,5,18/04/2014,I lost an expensive piece of jewellery whilst on holiday and contacted  on my return. The adviser was patient and supportive and guided me though the claims process which was hassle free with a swift resolution. I cannot speak too highly of the service received and I would not hesitate to recommend  to others.,I would recommend  to a friend,18,,,,
22,jonesy,Female,55 to 64,4,Buyer review,Very easy to do,4,4,4,5,NA,NA,NA,17/04/2014,reminder came by post quotation on line which was easy to alter to my requirements,I would recommend  to a friend,18,,,,
23,dreamon,Male,45 to 54,3,Claim review,first impressions,NA,NA,3,NA,3,2,3,17/04/2014,"When I contacted  to report that we had a water leakthey acted very quickly got the engineer to stop the leak.
But when it came to deal with the repair of the ceiling it took over 6 weeks to settle the claim.
They sent out a surveyor and he told me that they can to the repairs cheaper but would only repair the damaged part of the ceiling and as we have a through lounge the ceiling would look very odd one part covered with ceiling tiles and the other side not. So was not very impressed and when after two weeks I hadnt heard anything from them I contacted them and was told that as the surveyor had been out he would be dealing with all the clame and to contact him that was not what I was accepting when I then told them he had not even given me any contact details all he was concerned about was that I did not have a matching item policy and said that all he was going to do. As far as I am concerned the ceiling is part of the building not a item like furniture.",I would recommend  to a friend,18,,,,
24,molesy,Male,25 to 34,5,Buyer review,excellent all round,5,5,5,5,NA,NA,NA,16/04/2014,I found the staff were really helpful everything was explained clearly and prices were fantastic also policy comes with other benefits highly recommend to any 1 wish I had of tried these before I had been with my other insurer for a couple of year never mind,I would recommend  to a friend,18,,,,
25,prosser,Male,17 to 24,5,Buyer review,home contense insurance,5,5,5,5,NA,NA,NA,16/04/2014,very happy with the price for the value of money i get,I would recommend  to a friend,18,,,,
26,Lettuce,Female,55 to 64,4,Claim review,A storm in a roof top,NA,NA,2,NA,4,2,5,15/04/2014,Our roof and chimney were damaged in the Christmas New Year storms. A viva have been excellent in many ways but due to so many people being affected it was very difficult talking to the person overseeing the claim. Emailing was the only way to have contact with this person. With perseverance on our behalf it was sorted and paid out taking approx 10 weeks in total.,I would recommend  to a friend,18,,,,
27,Sam2,Female,55 to 64,5,Buyer review,Great Experience,NA,5,5,5,NA,NA,NA,15/04/2014,From getting a qote on line and setting up the policy was a positive experience. Great customer service in setting up. Everthing they said they would do they did. Also very reasonable price giving me a saving. Highly reccomended,I would recommend  to a friend,18,,,,
28,Dolores1950,Female,65 or over,4,Claim review,Great customer service at all times .,NA,NA,5,NA,5,5,5,15/04/2014,"Considering the problems of flooding at this time  my claim was dealt with quite quickly .
Any request that I had re company to be used for my repairs were agreed .",I would recommend  to a friend,18,,,,
29,Popsy,Female,65 or over,4,Buyer review,Shame using priemun telephone numbers,4,4,4,4,NA,NA,NA,15/04/2014,Why oh why do you make us use premium telephone numbers when we have to contact you ?,NA,18,,,,
30,sf7880,NA,NA,4,Buyer review,Cost effective contents only home insurance,4,4,4,4,NA,NA,NA,15/04/2014, seemed to be one of the only major companies which made it easy to buy contents only insurance - they offered a cost effective option that was easy to purchase online,I would recommend  to a friend,18,,,,
31,trickyd3,Male,45 to 54,5,Buyer review,Highly competitive quote,4,4,5,5,NA,NA,NA,15/04/2014,I was looking for a competitive quote as my previous insurer had ratcheted up the rate again this year. Having recently insured my cars with  I was offered a discount to switch my home insurance. I wasnt sure it would be competitive as we live close to a flood zone however they significantly beat the renewal quote with as much or more cover. Very pleased.,I would recommend  to a friend,18,,,,
32,DAVID,Male,65 or over,4,Buyer review,good value for money,4,4,4,5,NA,NA,NA,14/04/2014,straight forward questions that can easily be understood  and the telephone staff are extremely helpful and experienced if you need any help with the application form.,I would recommend  to a friend,18,,,,
33,Betsy,Female,65 or over,5,Buyer review,Service and Value,5,5,5,5,NA,NA,NA,14/04/2014,My previous insurance had gone up year upon year and my neighbours suggested changing companies. Having been with  for my car insurance for years I contacted them. From the moment I was connected to an extremely personable and knowledgeable advisor to the final agreement on a policy was a pleasure. I am extremely pleased with both the price and the service and I would unhesitatingly recommend .,I would recommend  to a friend,18,,,,
34,bellinghameagle,Male,55 to 64,5,Claim review,Speedy Claim Settlement,NA,NA,4,NA,5,5,5,14/04/2014,This was by far the easiest claim I have ever made. From first phone call to settlement at end of claim took only 2 weeks.,I would recommend  to a friend,18,,,,
35,rubylou,Female,35 to 44,5,Claim review,EASY CLAIM OVER THE PHONE,NA,NA,4,NA,5,4,4,14/04/2014,REALLY EASY DID ALMOST ALL OVER PHONE AND VERY UNDERSTANDING PEOPLE ON PHONE,I would recommend  to a friend,18,,,,
36,theatre,Female,65 or over,5,Claim review,Fast response and very efficient,NA,NA,5,NA,5,4,5,14/04/2014,Never had a fire or claimed insurance payment in over 50 years before this claim. I was pleasantly surprised that everything was replaced like for like and very efficiently. I could have claimed for replacement of some items which were really not necessary to be replaced but like to be fair.,I would recommend  to a friend,18,,,,
37,HRR2,Male,45 to 54,5,Buyer review,Competitively Priced,5,5,4,5,NA,NA,NA,14/04/2014,On a Like for Like basis the  product was more competitively priced than my renewal quotation.,I would recommend  to a friend,18,,,,
38,deeps600,Male,55 to 64,1,Claim review,Not a good experience ...,NA,NA,1,NA,2,1,1,14/04/2014,Entirely unimpressed with the  claim process that is clearly not fit for purpose.,NA,18,,,,
39,Gary,Male,45 to 54,5,Buyer review,Great value and service.,5,5,5,5,NA,NA,NA,14/04/2014,Very quick and easy to set up. I had to tel to set up and service was excellent. Made a large saving but the ease of dealing with a UK call centre was the real bonus particularly as they didnt try to hard sell lots of other insurances.,I would recommend  to a friend,18,,,,
40,Flipflop,Male,45 to 54,5,Claim review,Excellent claim management,NA,NA,5,NA,5,5,5,13/04/2014,Had a flooded kitchen and contacted the claim centre. The claim was processed promptly and surveyors and contractors sorted the claim from start to finish (finish being when we were satisfied all works were completed). Works came with a guarantee. The claims team kept in contact to ensure everything was done. No stress. Done in a very timely fashion. Very happy. Well done.,I would recommend  to a friend,18,,,,
41,Teardust,Male,55 to 64,5,Buyer review,Simple good value,5,5,5,5,NA,NA,NA,13/04/2014,The quote from my previous insurer had rocketed and  was the first option I looked at. It all looked so good and simple I just went for it.,I would recommend  to a friend,18,,,,
42,Nass,Male,65 or over,4,Buyer review,Nass,4,4,4,4,NA,NA,NA,13/04/2014,"1st time insured with a viva.
Good thing noticed Thad like car insurance you can Protect no claim bonus",I would recommend  to a friend,18,,,,
43,Cassey,Male,45 to 54,5,Buyer review,Great service,5,5,5,5,NA,NA,NA,13/04/2014,Great deal would have a look well worth it you will be happy you did I was.,I would recommend  to a friend,18,,,,
44,DUTCHGIRL,Female,65 or over,5,Buyer review,I CANT UNDERSTAND WHY NOBODY HAS THOUGHT OF DOING IT THIS WAY BEFORE?,5,5,5,5,NA,NA,NA,13/04/2014,"There is no doubt that  has revolutionised the way in which we now buy our insurance!
No longer is it the challenging experience that we all dreaded facing.
 has made purchasing insurance so simple in a language that is easily understood presented in a really friendly and courteous manner. I have just purchased my Home Contents Insurance policy from  with considerable financial savings and increased benefits So I am very pleased!
As I had already transferred my Financial Investment Plans to  last year on the advice of my Financial Adviser I was already well impressed by s performance and service. I already have my car insurance lined up for  on renewal. And by moving my insurances under one roof I can now get all the benefits of My with all my policies readily available on line!
VIVA !",I would recommend  to a friend,18,,,,
45,puddlejumper,Male,65 or over,5,Buyer review,superb service,4,5,5,4,NA,NA,NA,13/04/2014,I went online to get a quote from various companies and as I had my car insurance with  I tried them. the quote was very favourable but there were a couple of questions I neededto resolve. The main one was the quote was far better priced than any other so I rang the Freephone no. the next morning. The agent not only resolved my queries but went through the complete form explaining what each section did for me. Excellent service.,I would recommend  to a friend,18,,,,
46,garethgreat,Male,25 to 34,4,Buyer review,really pleased with the deal that I have had,4,5,5,5,NA,NA,NA,12/4/2014,Fast and easy access to the web site and I have secured that deal that I wanted that is right for me I just hope that I get the same next year when it is time to renew my policy.,I would recommend  to a friend,18,,,,
47,Annieo,Female,45 to 54,5,Claim review,Quick and easy resolution,NA,NA,5,NA,5,5,5,11/4/2014,My claim was dealt with quickly and efficiently. An assessor came within a few days and the voucher came through shortly after that. Everyone I dealt with was polite and helpful.,I would recommend  to a friend,18,,,,
48,Petpluv,Male,65 or over,5,Claim review,Storm damage claim settled quickly,NA,NA,5,NA,5,5,5,11/4/2014,E-mail and telephone response to my claim was polite professional and efficient. First class service.,I would recommend  to a friend,18,,,,
49,happychappy,Male,45 to 54,5,Buyer review,great and freindly,5,4,5,5,NA,NA,NA,10/4/2014,when i called  it was the best call id made for insurance EVER... i couldnt have been happier when i had finished my phone call. i was so impressed with the adviser and his professional experience in the insurance i wanted.to tell the whole world how wonderful i felt. .a big thank you to ..,I would recommend  to a friend,18,,,,
50,matelo,Male,65 or over,4,Claim review,Internal Flood Claim Well Processed,NA,NA,4,NA,3,2,5,10/4/2014,"Initial response was decisive and informative. The external agencies survey drying out decorating handled efficiently. Coordination between building and contents
area of responsibilities was poorly explained and therefore caused confusion when trying to address issues. By and large happy with the overall outcome.",I would recommend  to a friend,18,,,,
51,V5topman,Male,45 to 54,5,Claim review,Bike theft,NA,NA,5,NA,5,5,5,10/4/2014,Bikes replaced with no fuss. Excellent prompt service.,I would recommend  to a friend,18,,,,
52,globetrotter,Female,65 or over,5,Claim review,friendly and efficient service,NA,NA,5,NA,5,5,5,9/4/2014,We were entirely satisfied with the way  dealt with our recent claim. We are senior citizens and were making our first claim after a break in .  gave us every assistance and made the whole process much easier for us to deal with. We would certainly recommend them to others.,I would recommend  to a friend,18,,,,
53,worldtraveller,Male,65 or over,5,Claim review,Excellent service,NA,NA,5,NA,5,5,5,9/4/2014,Efficient and courteous staff providing excellent services. Would recommend  to friends without hesitation.,I would recommend  to a friend,18,,,,
54,GARTH,Male,65 or over,5,Buyer review,Insurance made simple,5,5,5,5,NA,NA,NA,9/4/2014,"I requested quotes on line and after several changes
in cover made by myself I eventually accepted the one
that I was happy with. The application was very straightforward and  delivered my documents by
e mail which I was able to access and print at my
discretion. They make everything so easy and I would have no hesitation in recommending them to anyone who is
taking out insurance for the first time or like myself switching
insurance providers.",I would recommend  to a friend,18,,,,
55,sunnydays1,Female,55 to 64,5,Buyer review,Great customer care,4,5,5,5,NA,NA,NA,9/4/2014,Excellent value same cover but half the price of my current insurance company. Very helfull customer service explains exactly what you are purchasing and cover needed.,I would recommend  to a friend,18,,,,
56,Shah,Male,65 or over,4,Buyer review,Good customer service,4,5,5,5,NA,NA,NA,9/4/2014,Very courteous and efficient customer servicevery competitive pric and I also have car insurance with the company.,I would recommend  to a friend,18,,,,
57,Loulou,Female,45 to 54,5,Claim review,Roof claim,NA,NA,4,NA,4,4,4,9/4/2014,In general extremely helpful. A few times I had to call to check what was happening but someone did get back to me. The experience wasnt stressful at all.,I would recommend  to a friend,18,,,,
58,jamie66,Female,65 or over,5,Buyer review,excellent service,4,5,5,5,NA,NA,NA,8/4/2014,"straightforward options throughout setting up procedure
clear instructions and very competitive rate",I would recommend  to a friend,18,,,,
59,geman50,Male,45 to 54,5,Buyer review,No complaints,4,5,5,5,NA,NA,NA,8/4/2014,The home insurance was purchased over the phone as I had to add a specific item to my policy. My query was dealt with quickly efficiently and in a friendly manner. I have no complaints.,I would recommend  to a friend,18,,,,
60,SKierulf,Male,25 to 34,5,Buyer review,Tenancy insurance.,5,5,5,5,NA,NA,NA,8/4/2014,"After browsing with an insurance comparison website I found  which surprised me as it was the first well-known company that appeared on these websites. After asking for a quote on ﾒs website this turned out to be even lower than the original one I was given. I needed a very basic insurance for my tenancy and I have to say Iﾒm glad to be paying as little as I am compared to other well-known insurance companies and I was also glad to see that I might get a discount next year if I have no claims and another one for signing up online.
In the end  made it quite simple to sign up for something that I thought would require lots of time.",I would recommend  to a friend,18,,,,
61,LMB40,Female,35 to 44,5,Buyer review,Excellent,5,5,5,5,NA,NA,NA,8/4/2014,I was already with  for my car insurance but with just 1 phone call I managed to save a lot of money on our yearly bills by swapping my husbands car insurance and our buildings and contents insurance. The process was so easy and the person I spoke to was really friendly and made the process painless,I would recommend  to a friend,18,,,,
62,boomerang,Female,55 to 64,5,Buyer review,Very helpful.,5,5,5,5,NA,NA,NA,8/4/2014,Easy to talk with and listened to my queries. Explained in detail everything covered for my individual needs.,I would recommend  to a friend,18,,,,
63,Mrvmeldrew,Male,35 to 44,5,Buyer review,great customer service,5,5,5,5,NA,NA,NA,8/4/2014,Very happy and satisfied with their online quote although it was not the cheapest but giving the reviews from other customers i chose . Not been with  before therefore i have no experience in dealing with them so far in terms of making a claim etc. Overall very happy with their services.,I would recommend  to a friend,18,,,,
64,SafariRanger,Male,65 or over,5,Buyer review,Home Insurance Transfer,5,5,5,5,NA,NA,NA,7/4/2014,All done in an efficient manner. Web site was easy to follow and follow us call from a representative was helpful but not intrusive. Only negative is that I kept getting emails regarding the taking up of a quote after I had purchased the policy.,I would recommend  to a friend,18,,,,
65,subjecttoingressofrain,Male,55 to 64,5,Claim review,Subjected2rainingress,NA,NA,5,NA,5,5,5,7/4/2014,From first phone call to completion of damage was swift and secure. No hassle whatever. Thank you.,I would recommend  to a friend,18,,,,
66,newtoallthis,Female,55 to 64,3,Buyer review,Failed incentive,3,3,2,3,NA,NA,NA,7/4/2014,The promised incentive has not arrived. Feel like this is another insurance promise not fulfilled. What vouchers?,NA,18,,,,
67,Happy,Male,65 or over,4,Buyer review,Good customer relations.,4,5,4,5,NA,NA,NA,6/4/2014,"Well explained in laymans terms.
More important my policy was well priced in relation to other quotes from other insurance companies.
I opted for the online option which was also very straightforward so would recommend  home insurance after my experience.",I would recommend  to a friend,18,,,,
68,footman,Male,65 or over,5,Buyer review,easy on line experience,4,5,4,5,NA,NA,NA,6/4/2014,No problems with on line purchase. Product was well described and met my requirements in most ways. Much less expensive than using other methods of purchase.,I would recommend  to a friend,18,,,,
69,Marquetry,Male,NA,5,Claim review,An Excellent Service,NA,NA,5,NA,5,5,5,6/4/2014,I would like to thank all at  for the speed my claim was met with. The team showed agreat understaning of my problems and dealt with all maters in a very timely fashion. I will be pleased to reccomend  in the future.,I would recommend  to a friend,18,,,,
70,Joiner,Male,65 or over,4,Claim review,Storm damage,NA,NA,4,NA,4,5,5,6/4/2014,Service was excel ant inisial phone call was fast and Ifishant and dealt with quikly .The accesare was very fair and delt with this matter in a very ifishant and the money was received in to our account with in the 7day period and I could not recommend the service enough,I would recommend  to a friend,18,,,,
71,Unhappy,Female,55 to 64,1,Claim review,never again,NA,NA,1,NA,3,1,1,6/4/2014,Time taken was appalling..  were trying to penny pinch at every stage which I guess actually cost them a lot more due to many un necessary repeat visits from workmen. Standard of work done was good and workmen very polite. Disappointing lack of any communication from Asprea. Not like the adverts. First claim I have ever made and I am extremely disappointed,NA,18,,,,
72,Mikala,Female,35 to 44,5,Claim review,Outstanding customer service,NA,NA,4,NA,5,5,5,5/4/2014,Super fast & smooth claim processhighly recommended.,I would recommend  to a friend,18,,,,
73,Mykabyka,Male,65 or over,5,Buyer review,Try it I did and what a surprise.,5,5,4,4,NA,NA,NA,5/4/2014,After years of re-negotiating with my previous supplier they would always drop the price to close to better quotes  gave a great saving with better cover. The ********* came close and admitted they could because my new quote they sent had a large profit ~ I left and gave the business to .,I would recommend  to a friend,18,,,,
74,JillyBilly,Female,45 to 54,5,Buyer review,Great value and good customer service with simplicity the key,5,5,5,5,NA,NA,NA,5/4/2014,The quote I got from  was far cheaper than my original home insurance with a more extensive cover as well. It was simple to set up and hassle free definitely worth the 20 mins on the phone going through the policy.,I would recommend  to a friend,18,,,,
75,dmf27,Male,55 to 64,5,Claim review,Wall claim,NA,NA,5,NA,5,4,4,4/4/2014,Excellent help from claims team with no hassle and all questions answered,I would recommend  to a friend,18,,,,
76,mucks,Male,45 to 54,1,Buyer review,great product but impossible to communicate with.,4,5,1,1,NA,NA,NA,4/4/2014,Be very careful i was passed from pillar to post for days on end. finally exactly what I feared has happened.  double charged me. Even though I was assured this would not happen.,NA,18,,,,
77,eagle,Female,65 or over,5,Buyer review,Great Customer Service,5,5,5,5,NA,NA,NA,4/4/2014,"I phoned  and got a quote from a very polite customer adviser. I needed to insure my main home also a holiday home and on both quotes the price was just right.
Thank all your staff for their care and attention.",I would recommend  to a friend,18,,,,
78,auntylou,Female,45 to 54,5,Claim review,Fantastic stress free claims service,NA,NA,5,NA,5,5,5,3/4/2014,From the start of making my claim on my home insurance the claim was dealt with quickly and efficiently. The service received from  was excellent. I even had a phone call to make sure that they hadnt mislaid my final bill as they hadnt reimbursed me but I hadnt submitted it due to the repairs not being done due to the bad weather. I would definitely recommend  Home Insurance I couldnt have asked for a better claims experience! Thank you,I would recommend  to a friend,18,,,,
79,Tiger2956,Male,NA,4,Claim review,Great claims service,NA,NA,5,NA,5,5,5,3/4/2014,Had a claim for a cabinet unit accidentally broken whilst decorating claim submitted and settled within 2 weeks money in my account staff etc could not be so helpful it was a pleasure and it is not many people can say that,I would recommend  to a friend,18,,,,
80,reknewal,Male,55 to 64,4,Buyer review,take care,4,5,3,2,NA,NA,NA,3/4/2014,Happy with policy but this was to replace cover elsewhere which did not expire for a further ten days . I do not recall seeing a page giving me the option to start my policy on a set date on application and not on purchase either. I rang  to be told they could cancel my policy and I could start again but they could not redate to coincide with other renewal. So rather than all the hassle I left dates as they were and  had two lots of cover for about 10 days - need to make this clearer or be more flexible to change start dates  even if it was their customers error in not seeing something in application process,I would recommend  to a friend,18,,,,
81,charlie,Female,55 to 64,4,Buyer review,home insurance,4,3,4,4,NA,NA,NA,3/4/2014,First time buying from good help given through options on the telephone.,I would recommend  to a friend,18,,,,
82,Roger,Male,65 or over,5,Buyer review, Home Insurance,5,5,5,5,NA,NA,NA,3/4/2014,Only issue was Insured amount much higher than total assets in the property,I would recommend  to a friend,18,,,,
83,NA,Female,65 or over,4,Claim review,ease of claim,NA,NA,4,NA,4,4,4,3/4/2014,Although we werent allowed our total claim put in by the builder we feel the amount offered was fair.  made the claim process easy and straight forward and I would certainly recommend them,I would recommend  to a friend,18,,,,
84,KingB,Male,55 to 64,4,Buyer review,Very good customer service,4,4,5,5,NA,NA,NA,3/4/2014,Having filled everything online and submitting I realised i needed to change a few things. Customer services very quickly changed things to my satisfaction and issued a revised policy schedule.,I would recommend  to a friend,18,,,,
85,Cindy,Female,45 to 54,5,Buyer review,Excellent customer service,5,5,5,5,NA,NA,NA,3/4/2014, was easy to access on line for a quote and when I phoned to purchase the policy I could not fault their service very efficient and helpful I also changed another insurance policy that was due for renewal as I was so pleased with their service. Would highly recommend,I would recommend  to a friend,18,,,,
86,pammy,Female,55 to 64,5,Buyer review,Great customer service,5,5,5,5,NA,NA,NA,3/4/2014,We already have our cars on a group insurance so decided to see if  could beat my home insurance renewal. They did!! Fantastic customer service and would highly recommend them.,I would recommend  to a friend,18,,,,
87,liger,NA,45 to 54,5,Claim review,good service,NA,NA,5,NA,5,5,5,3/4/2014,"finally rewarded 10 more years no claims!
pretty quick response and kindly handled.
really bad mood from the damage has been changed
to somewhat pleasant one thanks to your service.",I would recommend  to a friend,18,,,,
88,mazza,Female,55 to 64,5,Buyer review,great product,5,5,5,5,NA,NA,NA,2/4/2014,recently bought contents insurance online very easy to follow the form and love that you have the option to change excess add accidental damage and the fact that it increases your cover at holiday times. Have made a saving in the first year so very pleased. Clear and concise information given regarding cover at each step. Easy to print off all the forms and again all the information clear and transparent so you know exactly what you are covered for. Received a follow up call the same day to ensure I knew the key facts of the insurance cover and what the excess was. Great customer service and would definitely recommend  to friends. Follow the rules of selling insurance at each step of the way what more can you ask for.,I would recommend  to a friend,18,,,,
89,Pete,Male,65 or over,5,Claim review,Great Customer Service,NA,NA,5,NA,NA,4,5,2/4/2014,"We submitted a claim as we had water pouring into the house bypassing window frames and getting into the cavity.
An Assessor visited the house saw the damage and gave us payment for repairs there and then. Brilliant!",I would recommend  to a friend,18,,,,
